,Sentiment,tokenized
242,1,"['اسلام', 'آباد', 'دھرنا', 'ختم', 'کرنے', 'پر', 'ایک', 'ایسی', 'پارٹی', 'کے', 'کارکنان', 'بھی', 'زہر', 'اگل', 'رہے', 'ہیں', 'جن', 'کے', 'سربراہ', 'پہلے', 'دن', 'سے', 'ہی', 'دن', 'رات']"
243,1,"['اگرزمینی', 'حقائق', 'یہ', 'بتلاتے', 'ہوں', 'کہ', 'یہ', 'ایک', 'خنریزسیاسی', 'سرگرمی', 'ہے']"
244,0,"['لاہور', 'انٹری', 'ٹیسٹ', 'کو', 'ختم', 'نہیں', 'کیا', 'معاملہ', 'زیر', 'غور', 'ہے', 'صوبائی', 'وزیر', 'رانا', 'مشہود']"
245,0,"['کراچی', 'ایدھی', 'سنٹر', 'پر', 'ڈاکے', 'کا', 'مرکزی', 'ملزم', 'گرفتار', 'عیدھی', 'صاحب', 'پہلے', 'بھی', 'اپ', 'کی', 'سالہ', 'دلہن', 'کڑوڑوں', 'روپے', 'لے', 'اڑی', 'تھی']"
246,1,"['کرکٹ', 'کی', 'اس', 'بیکار', 'ٹیم', 'پر', 'کیوں', 'پاکستان', 'کا', 'قیمتی', 'زرمبادلہ', 'خرچ', 'کیا', 'جا', 'رہا', 'ہے', 'یہ', 'کبھی', 'نہیں', 'جیت', 'سکتے', 'ان', 'کو', 'دفع', 'کرو']"
247,0,"['لگ', 'تو', 'یو', 'ہی', 'رہا', 'ہے', 'کہ', 'پاکستان', 'میچ', 'اسانی', 'سے', 'جیت', 'لے', 'گا']"
248,0,"['دیکھو', 'نعرے', 'مت', 'مارو', 'اس', 'نشئی', 'عمران', 'کا', 'ذریعہ', 'معاش', 'بتادواگر', 'تمھیں', 'پتہ', 'ھے', 'تو', 'میں', 'اس', 'لاکھ', 'درجے', 'خود', 'دار', 'ھوں', 'اپنی', 'کھاتا', 'ھوں']"
249,0,"['قادری', 'صاحب', 'سمجھ', 'تے', 'تسی', 'گے', 'ہو', 'گے']"
250,0,"['حضرت', 'اسما', 'بنت', 'یزید', 'سے', 'روایت', 'ہے', 'کہ', 'رسول', 'اللہ', 'صلی', 'اللہ', 'علیہ', 'وسلم', 'نے', 'ارشاد', 'فرمایاکہقیامت', 'کے', 'دن', 'سب', 'لوگ', 'زندہ', 'کیے', 'جانے', 'کے', 'بعد', 'ایک', 'وسیع', 'اور', 'ہموار']"
251,1,"['کمیشن', 'نےنندی', 'پوربجلی', 'منصوبےمیں', 'تاخیرکاذمےداروزارت', 'قانون', 'کوقرار', 'دیا', 'تاخیرکے', 'باعث', 'وزارت', 'خزانہ', 'کو', 'ارب', 'روپے', 'کا', 'نقصان', 'ہوا', 'وزارت', 'پانی', 'و', 'بجلی']"
252,0,"['آپ', 'صلی', 'اللہ', 'علیہ', 'وسلم', 'نے', 'فرمایا', 'اگرجھک', 'جانے', 'عاجزی', 'اختیار', 'کرنے', 'سے', 'تمہاری', 'عزت', 'گھٹ', 'جاے', 'تو', 'قیامت', 'کے', 'دن', 'مجھ', 'سے', 'لے', 'لینا', 'صحیح', 'مسلم', 'حدیث']"
253,1,"['نواز', 'شریف', 'کے', 'استعفے', 'کے', 'بغیر', 'کنٹینر', 'سے', 'نہیں', 'نکلوں', 'گا', 'عمران', 'خان', 'جھوٹے', 'ہر', 'روز', 'نکلتا', 'ہے', 'بنی', 'گالا', 'بھی', 'جاتا', 'ہے', 'پ']"
254,0,"['پیپلز', 'پارٹی', 'نے', 'ہمشہ', 'سندھ', 'کارڈ', 'استعمال', 'کیا', 'الطاف', 'حسین']"
255,0,"['دبئی', 'ٹیسٹ', 'یونس', 'خان', 'کے', 'نام', 'ٹیسٹ', 'کے', 'دونوں', 'اننگز', 'میں', 'سنچری', 'لگاکر', 'پاکستان', 'کی', 'تاریخ', 'میں', 'سب', 'سے', 'زیادہ', 'سنچریاں', 'بنانے', 'والے', 'کھلاڑی', 'بن', 'گئے']"
256,1,"['یہقاں', 'تو', 'فالوور', 'بھی', 'جان', 'کو', 'اٹک', 'جاتا', 'ہے', 'لیڈر', 'سے', 'سوال', 'کرنے', 'کی', 'کون', 'جرات', 'کر', 'سکتا', 'ہے']"
257,1,"['منڈی', 'بہاوالدین', 'شیخ', 'علی', 'پور', 'کے', 'قریب', 'نامعلوم', 'نوجوان', 'کی', 'نعش', 'برآمد']"
258,0,"['عوامی', 'تحریک', 'کا', 'دھرنا', 'ختم', 'ہونے', 'پر', 'اسلام', 'آباد', 'میں', 'عید', 'کا', 'سماں']"
259,0,"['کیا', 'زبردست', 'دن', 'تہا', 'آج', 'پاکستان', 'کرکٹ', 'ٹیم', 'کے', 'لیے', 'پہلے', 'تو', 'احمد']"
260,1,"['قرآن', 'و', 'سنت', 'کی', 'روشنی', 'میں', 'لفظ', 'مہاجر', 'کی', 'بے', 'حرمتی', 'پر', 'فتوی', 'جاری', 'کیاجائے', 'گا', 'احتجاجی', 'پروگرام', 'کا', 'انعقاد', 'اور', 'بھوک', 'ہڑتال', 'کی', 'جائے', 'گی']"
261,0,"['دبئی', 'پہلا', 'ٹیسٹ', 'پاکستان', 'کا', 'آسٹریلیا', 'کیخلاف', 'ٹاس', 'جیت', 'کر', 'بیٹنگ', 'کا', 'فیصلہ']"
262,1,"['بریکنگ', 'لاہور', 'میں', 'مردہ', 'جانوروں', 'کا', 'گوشت', 'فراہم', 'کیے', 'جانے', 'کاانکشاف']"
263,0,"['پاکستان', 'آسٹریلیا', 'ٹیسٹ', 'سیریز', 'سے', 'قبل', 'بین', 'الاقوامی', 'کرکٹ', 'کونسل', 'نے', 'ٹیسٹ', 'رینکنگ', 'جاری', 'کردی', 'ہے']"
264,0,"['میں', 'حر', 'ہوں', 'ابھی', 'لشکر', 'یزید', 'میں', 'ھوں', 'میرا', 'حسین', 'ابھی', 'کربلا', 'نہیں', 'پہنچا']"
265,1,"['جناب', 'اسپیکرلاہور', 'میٹرو', 'بس', 'منصوبہ', 'ایک', 'ارب', 'کروڑ', 'لاکھ', 'روپے', 'سالانہ', 'خسارے', 'میں', 'چل', 'رہا', 'ہے', 'دستاویز']"
266,0,"['میرا', 'کپتان', 'نہی', 'بولا', 'تو', 'ہمیں', 'بھی', 'کے', 'دوستو', 'کو', 'کچھ', 'نہی', 'بولناہمیں', 'اپنے', 'راستے', 'پر', 'چلنا', 'ہے', 'اور', 'منزل', 'کی', 'جانب', 'بڑھنا', 'ہے', 'انشااللہ', 'نیا', 'پاکستان']"
267,1,"['بالکل', 'ایسا', 'ہی', 'ہے', 'بھائی', 'سیاسی', 'دھرنا', 'اور', 'مذہبی', 'اجتعمات', 'پر', 'دونوں', 'پہ', 'پابندی', 'لگنی', 'چاہییے']"
268,1,"['غازی', 'تربیلہ', 'گورنمنٹ', 'پرائمری', 'اسکول', 'الدو', 'میں', 'دوران', 'اسمبلی', 'بجلی', 'کی', 'تارگرگئیطلبہ', 'جھلس', 'کرزخمیاسپتال', 'منتقلپولیس']"
269,0,"['یہ', 'بھی', 'حقیقت', 'ھے', 'کہ', 'لوگ', 'اپنی', 'سیاسی', 'قائدین', 'پہ', 'اندھا', 'اعتماد', 'کرتے', 'ہیں']"
270,0,"['ان', 'جیسے', 'دوست', 'سے', 'بہتر', 'ہے', 'اکیلا', 'رہنا']"
271,1,"['عوام', 'کو', 'مصروف', 'رکھو', 'بیوقوف', 'بناتے', 'رہو', 'اور', 'ملک', 'لوٹتے', 'رہوصوبے', 'کا', 'ڈرامہ', 'رچا', 'تے', 'رہو', 'کراچی', 'کے', 'عوام', 'کو', 'بیوقوف', 'بنا', 'تے']"
272,0,"['چور', 'زیادہ', 'شور', 'مچاتا', 'ھے', 'کورٹس', 'زندہ', 'آباد', 'اور', 'قادری', 'عمران', 'اور', 'مبشر', 'سازشی', 'مردہ', 'آباد']"
273,1,"['بات', 'کہنی', 'ہو', 'کوئی', 'وعدہ', 'نبھانا', 'ہواسے', 'آواز', 'دینی', 'ہو', 'اسے', 'واپس', 'بلانا', 'ہوہمیشہ', 'دیر', 'کر', 'دیتا', 'ہوں', 'میں', 'مدد']"
274,0,"['تحریک', 'انصاف', 'نے', 'استعفوں', 'کی', 'تصدیق', 'کیلئے', 'اسپیکر', 'کے', 'سامنے', 'پیش', 'ہونے', 'کا', 'فیصلہ', 'کرلیا', 'سچ', 'ٹی', 'وی']"
275,0,"['محرم', 'کاچاند', 'نظر', 'آگیا', 'کراچی', 'ڈی', 'جی', 'رینجرز', 'کی', 'محرم', 'کے', 'دوران', 'اسلحہ', 'لے', 'کر', 'چلنے', 'والوں', 'کیخلاف', 'سخت', 'کارروائی', 'کیہدایت']"
276,0,"['﷽', 'قل', 'ھواللہ', 'احد', 'اللہ', 'الصمد', 'لم', 'یلد', 'ولم', 'یولد', 'ولم', 'یکن', 'لہ', 'کفوا', 'احد']"
277,1,"['سابق', 'چیف', 'جسٹس', 'پاکستان', 'کو', 'شدید', 'خطرات', 'لاحق']"
278,1,"['اس', 'بات', 'کو', 'ماننے', 'میں', 'کوئی', 'تعامل', 'نہیں', 'کہ', 'ہم', 'اپنے', 'مقصد', 'میں', 'کامیاب', 'نہیں', 'ہوئے', 'مگر', 'ہم', 'نے', 'اس', 'نظام', 'پر', 'کاری', 'ضرب', 'ضرور']"
279,0,"['چابی', 'والا', 'بابا', 'ڈیزل', 'خان', 'سے', 'گیم', 'کر', 'گیا', 'ضمنی', 'انتخابات', 'میں', 'تحریک', 'الزام', 'کی', 'خالی', 'سیٹوں', 'پر', 'الیکشن', 'لڑے', 'گا', 'جس', 'کو', 'تحریک', 'انصاف', 'مجبورا', 'سپورٹ', 'کرے', 'گی']"
280,0,"['نو', 'منتخب', 'امیر', 'جماعت', 'اسلامی', 'ضلع', 'اٹک', 'اقبال', 'خان', 'حلف', 'لے', 'رہے', 'ہیں']"
281,0,"['یہ', 'نیا', 'لڑکا', 'شاہ', 'بھی', 'کوئی', 'اخیر', 'ہی', 'ٹیلنٹ', 'ہے', 'بھی', 'تعریفیں', 'کر', 'رہا', 'ہے']"
282,0,"['منڈی', 'بہاؤالدین', 'انڈر', 'دی', 'ٹری', 'پرائمری', 'سکولاکیسویں', 'صدی', 'جہاں', 'پوری', 'دنیامیں', 'سائنس', 'اور', 'ٹیکنالوجی', 'کاراج', 'ہے', 'اور', 'تمام']"
283,0,"['غذائیں', 'جو', 'رکھیں', 'آپ', 'کو', 'سدا', 'جوان']"
284,0,"['جوانوں', 'حاضری', 'لگانے', 'کا', 'وقت', 'ہو', 'چکا', 'ہے', 'آفواج', 'پاکستان', 'زندہ', 'باد']"
285,1,"['اب', 'دامن', 'حیات', 'میں', 'کچھ', 'بھی', 'نہیں', 'رہافردا', 'کی', 'سرد', 'آگ', 'میں', 'حالات', 'جل', 'گئے', 'کلیات', 'چٹک', 'رہی', 'ہیں', 'کہ', 'شاخوں', 'پہ', 'آبلے', 'غنچوں', 'کی', 'مہکتوں', 'سے', 'میرے', 'ہاتھ', 'جل', 'گئے']"
286,0,"['الھم', 'صلی', 'علی', 'محمد', 'ﷺ']"
287,1,"['قادریسے', 'بولے', 'ڈاکٹر', 'نے', 'مجھے', 'دانتوں', 'میں', 'کیڑا', 'بتایا', 'ھے', 'بیوی', 'ڈاکٹر', 'نے', 'آپکو', 'بماری', 'تو', 'سہی', 'بتائ', 'پر', 'جگہ', 'غلط', 'بتادی', 'ہنسنا', 'منع', 'ہے', 'الوداع', 'انقلاب']"
288,0,"['نیلے', 'پاسپورٹ', 'کی', 'حفاظتی', 'چھتری', 'تلے', 'رہنے', 'والے', 'لوگ']"
289,0,"['مینار', 'پاکستان', 'سے', 'تکمیل', 'تحریک', 'پاکستان', 'کے', 'ایجنڈے', 'کولے', 'کر', 'ملک', 'بھرمیں', 'اس', 'تحریک', 'کو', 'پھیلائیں', 'گے', 'امیر', 'صوبہ', 'ڈاکٹر', 'وسیم']"
290,1,"['کچھ', 'بھی', 'نھیں', 'ھوگااسکا', 'نوٹس', 'تو', 'سپر', 'کورٹ', 'کو', 'خود', 'لینا', 'چاہیے', 'تھا', 'بھت', 'پھلے', 'کوکین', 'اب', 'گولی', 'کے', 'نت', 'نئے', 'مزے', 'مدھوشی']"
291,0,"['ذیاد', 'کدھر', 'ھو', 'بھائی', 'دھائی', 'ھے', 'دھائی', 'قادری', 'نے', 'لے', 'لی', 'ھڈی', 'اور', 'کس', 'لی', 'اپنی', 'چڈی', 'اب', 'کینیڈا', 'جائے', 'گاپھر', 'اگلے', 'سال', 'آئے', 'گا']"
292,0,"['کوئٹہدہشتگردی', 'کا', 'بڑا', 'منصوبہ', 'ناکامدھماکا', 'خیز', 'مواد', 'برآمد']"
293,0,"['ہن', 'تے', 'سردیاں', 'آ', 'گیی', 'ین', 'نے', 'لسی', 'ویسے', 'ہی', 'مک', 'جانی', 'جے']"
294,1,"['تحفظات', 'دور', 'کرنے', 'کی', 'بجائے', 'معطل', 'کر', 'دیا', 'گیا', 'جاوید', 'نسیم']"
295,1,"['ملک', 'بھر', 'میں', 'سردی', 'نے', 'اپنی', 'جھلک', 'دکھلا', 'دی']"
296,1,"['ایک', 'جماعت', 'سندھیوں', 'کے', 'جذبات', 'سے', 'کھیل', 'رہی', 'ہے', 'کہ', 'مہاجر', 'قابض', 'ہو', 'رہے', 'ہیں', 'جبکہ', 'دوسری', 'جماعت', 'مہاجروں', 'کے', 'جذبات', 'سے', 'کہ', 'سندھی', 'قابض', 'ہو', 'رہے', 'ہیں']"
297,0,"['سب', 'سے', 'بڑی', 'دولت', 'زبان', 'ذاکر', 'دل', 'شاکر', 'اور', 'زن', 'فرمانبردار', 'ھے', 'امام', 'غزالیجس', 'کے', 'پاس', 'بیوی', 'گھر', 'نوکر', 'اور', 'سواری', 'ھو', 'وہ', 'بادشاہ', 'ھے', 'مجددالف', 'ثانی']"
298,0,"['زیر', 'نظر', 'تصویر', 'میں', 'نوجون', 'قیادت', 'کے', 'پیچھے', 'جماعت', 'کی', 'پوری', 'قیادت', 'ہے', 'اسے', 'صحیح', 'اسلامی', 'جمہوریت', 'کہتے', 'ہیں', 'جو', 'تقوی']"
299,0,"['مشیر', 'کے', 'عہدے', 'کیلئے', 'لطیف', 'بٹ', 'کی', 'جگہ', 'خالد', 'محمود', 'لیں', 'گے']"
300,0,"['نومنتخب', 'ضلعی', 'ذمہ', 'داران', 'جماعت', 'اسلامی', 'راولپنڈی', 'جنرل', 'سیکرٹری', 'راجہ', 'جواد', 'احمد', 'نائب', 'امراء', 'سجاد', 'احمد', 'عباسی', 'ابو', 'عمیر']"
301,0,"['لوگو', 'کتاب', 'کا', 'خزانہ', 'ہو', 'جاؤ', 'اور', 'علم', 'کے', 'چشمے', 'بن', 'جاؤ', 'اور', 'روزانہ', 'اللہ', 'سے', 'روزی', 'مانگو', 'اگر', 'تمہارے', 'پاس', 'بہت', 'زیادہ', 'روزی', 'نہیں', 'تو', 'کوئی', 'نقصان', 'نہیں', 'عمر']"
302,0,"['ساقی', 'تیری', 'محفل', 'میں', 'ھم', 'جام', 'اچھالیں', 'گے', 'گر', 'کچی', 'بھی', 'نا', 'ملی', 'تو', 'کام', 'ڈیزل', 'سے', 'چلا', 'لیں', 'گے', 'چندے', 'سے', 'انقلاب']"
303,0,"['مٹھائی', 'ہم', 'امپائر', 'کی', 'انگلی', 'کھڑی', 'ہونے', 'کے', 'بعد', 'کھائیں', 'گے', 'پہلے', 'جنریٹر', 'کے', 'لئے', 'ڈیزل', 'منگوا', 'لوں']"
304,1,"['مولانا', 'ڈیزل', 'سے', 'ڈیزل', 'خان', 'تک', 'کا', 'شرمناک', 'سفرڈیزل', 'آ', 'نہیں', 'رہا', 'ڈیزل', 'آ', 'گیا', 'ہے']"
305,1,"['تم', 'سے', 'بڑا', 'گھپلا', 'کون', 'ہے']"
306,0,"['اسلام', 'آباد', 'اور', 'پشاور', 'میں', 'محرم', 'الحرام', 'کا', 'چاند', 'نظر', 'اگیا', 'ہے', 'تمام', 'اھل', 'اسلام', 'کو', 'نیا', 'سال', 'مبارک', 'ھو']"
307,0,"['محرم', 'الحرام', 'کا', 'چاند', 'نظر', 'آگیا', 'نیا', 'ھجری', 'سال', 'مبارک', 'ہو']"
308,1,"['نا', 'اہلی', 'اور', 'رکنیت', 'معطلی', 'کے', 'باوجود', 'بھی', 'افس', 'پر', 'قبضہ', 'کیے', 'ہوئے', 'ہیں', 'قبضہ', 'گروپ', 'اپنی', 'سیٹوں', 'کو', 'چھوڑنے', 'والے', 'نہیں', 'تحریک']"
309,1,"['تحریک', 'انصاف', 'کا', 'صدرہاشمی', 'حساس', 'وقت', 'پر', 'ساتھ', 'چھوڑ', 'جائے', 'تو', 'خان', 'کوفرق', 'نہیں', 'پڑا', 'قادری', 'کے', 'جانے', 'سے', 'کیوں', 'پڑے', 'گا', 'جو', 'تحریک', 'انصاف', 'کا', 'ممبر', 'بھی', 'نہیں']"
310,0,"['تہمتیں', 'تو', 'لگتی', 'ہیں', 'روشنی', 'کی', 'خواہش', 'میں', 'گھر', 'سے', 'باہر', 'آنے', 'کی', 'کچھ', 'سزا', 'تو', 'ملتی', 'ہے', 'لوگ', 'لوگ', 'ہوتے', 'ان', 'کو', 'کیا', 'خبر', 'جاناں']"
311,1,"['دہشت', 'گردی', 'سے', 'بھی', 'زیادہ', 'اموات', 'ہر', 'سال', 'زہریلی', 'شراب', 'کی', 'وجہ', 'سے', 'ہوتی', 'ہے', 'دہشت', 'گردی', 'اور', 'قدرتی', 'آفات', 'کی', 'طرح', 'گھٹیا', 'شراب', 'سے', 'بھی', 'غریب', 'ہی', 'مرتا', 'ہے']"
312,1,"['کینیڈا', 'کی', 'پارلیمنٹ', 'میں', 'فائرنگ', 'کی', 'ویڈیو', 'جاری']"
313,1,"['دبئی', 'ٹیسٹ', 'پاکستان', 'کے', 'دونوں', 'اوپنرز', 'رنز', 'پر', 'آؤٹ', 'دبئی', 'ٹیسٹ', 'میچ', 'میں', 'پاکستان', 'ٹاس', 'جیت', 'کر', 'آسٹریلیا']"
314,0,"['حضرت', 'امام', 'حسین', 'کا', 'صبر', 'شکر', 'توکل', 'اور', 'رضائے', 'الہی', 'کائنات', 'کے', 'انسانوں', 'کیلئے', 'علم', 'و', 'عرفان', 'کا', 'مینار', 'ہیں']"
315,0,"['لاہور', 'وائرس', 'کے', 'مریضوں', 'کے', 'علاج', 'کے', 'لئے', 'تربیت', 'دی', 'جارہی', 'ہے', 'ڈی', 'جی', 'ہیلتھ']"
316,1,"['قیامت', 'کی', 'نشانیاں']"
317,0,"['کس', 'نے', 'کھیل', 'کھیلا', 'ہے', 'کس', 'نے', 'ہجر', 'جھیلا', 'ہے', 'اب', 'گزر', 'گیا', 'جاناں', 'اس', 'سوال', 'کا', 'موسم']"
318,0,"['سال', 'بعد', 'مگر', 'انصاف', 'مل', 'گیادہلی', 'کی', 'ایک', 'عدالت', 'نے', 'اجتماعی', 'ریپ', 'کیس', 'کے', 'تمام', 'پانچ', 'قصورواروں', 'کو', 'عمر', 'قید', 'کی', 'سزا', 'سنائی', 'ہے']"
319,0,"['جی', 'دوستوآج', 'کاسوال', 'کیمرہ', 'کس', 'نے', 'ایجاد', 'کیا', 'جواب', 'دیں', 'انعام', 'جیتیں']"
320,0,"['پی', 'آئی', 'اے', 'میں', 'ڈائریکٹرز', 'کے', 'تقرر', 'کی', 'اجازت', 'کام', 'کررہے', 'ہیں']"
321,0,"['بنوں', 'میں', 'دوستانہ', 'میچ', 'آئی', 'ڈی', 'پیز', 'کی', 'شاہد', 'آفریدی', 'الیون', 'نے', 'جیت', 'لیا']"
322,1,"['طاہر', 'القادری', 'پاکستان', 'تین', 'مہینے', 'کے', 'لے', 'آیا', 'تھاویزے', 'کی', 'مدت', 'ختم', 'دہرنا', 'ختم', 'اورقادری', 'اپنے', 'ملک', 'روانہ']"
323,0,"['وہ', 'لوگ', 'جنھوں', 'نے', 'ہندوؤں', 'کی', 'دیکہا', 'دیکہی', 'کل', 'دیوالی', 'منا', 'ئ', 'یامبارک', 'باددی', 'ان', 'سے', 'پوچھنا', 'یہ', 'ہے', 'کہنیکسٹ']"
324,1,"['منہ', 'توڑ', 'جواب', 'پاگلوں', 'کا', 'جنگی', 'جنون', 'اور', 'معصوم', 'لوگوں', 'کا', 'قتل', 'عام', 'بس', 'یہی', 'ہے', 'وہ', 'کہانی']"
325,0,"['اجے', 'دیوگن', 'کی', 'فلم', 'ایکشن', 'جیکسن', 'کا', 'پہلا', 'پوسٹر', 'جاری']"
326,0,"['پیار', 'بھرے', 'دو', 'شرمیلے', 'نین', 'چندے', 'سے', 'انقلاب']"
327,0,"['میری', 'پرواز', 'جاں', 'میں', 'حائل', 'ہے', 'سانس', 'ٹوٹے', 'ہوئے', 'پروں', 'جیسی', 'دل', 'کی', 'بستی', 'میں', 'رونقیں', 'ہیں', 'مگر', 'چند', 'اجڑے', 'ہوئے', 'گھروں', 'جیسی']"
328,0,"['پاکچین', 'سرحدوں', 'کی', 'نگرانی', 'کیلئے', 'بھارت', 'کا', 'ڈرون', 'طیارے', 'استعمال', 'کرنے', 'کا', 'فیصلہ', 'روزنامہ', 'اردو', 'پوائنٹ']"
329,1,"['اے', 'آروائی', 'اربوں', 'خرچ', 'کرکے', 'بھی', 'اتنی', 'پبلیسٹی', 'حاصل', 'نہیں', 'کرسکتاتھاجتنی', 'لوھارراج', 'کے', 'شاہ', 'لوہا', 'نواز', 'اسے', 'بند', 'کرکے', 'دے', 'رھے', 'ھیں']"
330,1,"['دانشمندی', 'نہیں', 'ہے', 'کہ', 'آپ', 'وزیر', 'اعظم', 'کا', 'استعفے', 'مانگتے', 'مانگتے', 'خود', 'اپنے', 'استعفی', 'دیدیں', 'تحریک', 'انصاف', 'اسمبلیوں', 'میں', 'بے', 'شک', 'نہ', 'جائے', 'لیکن', 'استعفے', 'نہ', 'دے']"
331,1,"['غلط', 'انسان', 'سے', 'ریٹ', 'پوچھ', 'رہے', 'کیا', 'پتا', 'زیادہ', 'ریٹ', 'بتادے', 'اصل', 'ریٹ', 'ٹویٹ', 'والی', 'سرکار', 'سے', 'پوچھیے']"
332,1,"['اور', 'اگر', 'کہیں', 'فٹ', 'ہوتی', 'تو', 'وہاں', 'کر', 'بھی', 'لیں']"
333,0,"['پاکستان', 'تحریک', 'انصاف', 'کا', 'اکتوبر', 'کو', 'استعفوں', 'کے', 'معاملے', 'پر', 'بات', 'کرنے', 'کیلئے', 'اسپیکر', 'قومی', 'اسمبلی', 'کے', 'سامنے', 'پیش', 'ہونے', 'کا', 'فیصلہ']"
334,0,"['بہترین', 'لوگ', 'بہترین', 'نیت', 'رکھتےھیں', 'جس', 'کی', 'وجہ', 'سےرب', 'ان', 'کے', 'تمام', 'کاموں', 'کو', 'سنوار', 'دیتا', 'ھےاور', 'جس', 'کام', 'کو', 'رب', 'سنوار', 'دے', 'اسے']"
335,1,"['دلالوں', 'کی', 'اصلیت', 'اب', 'کسی', 'سے', 'چھپی', 'نہیں', 'رہی', 'ہے', 'کل', 'تک', 'جو', 'نظام', 'لپیٹنے', 'کی', 'باتیں', 'کر', 'رہے', 'تھے', 'آج', 'کھسیانے', 'ہو', 'کر', 'اسی', 'نظام']"
336,0,"['میں', 'ڈیزل', 'ڈیزل', 'کردی', 'آپے', 'ڈیزل', 'ہوئی']"
337,1,"['اسے', 'میرا', 'مجھے', 'اس', 'کاخسارہ', 'مار', 'ڈالے', 'گا']"
338,1,"['صحرائے', 'سینا', 'میں', 'ہنگامی', 'حالت', 'کا', 'نفاذ', 'مصر', 'کی', 'حکومت', 'نے', 'میں', 'دو', 'مختلف', 'حملوں', 'میں', 'فوجیوں', 'کی', 'ہلاکت']"
339,1,"['ایک', 'دن', 'مرنے', 'کے', 'لیے', 'ساری', 'زندگی', 'جینا', 'پڑتا', 'ہے']"
340,0,"['حضرت', 'عمر', 'کے', 'زمانہ', 'خلافت', 'میں', 'جامع', 'مساجد', 'کی', 'تعداد', 'بارہ', 'ہزار', 'تک', 'پہنچ', 'چکی', 'تھی', 'از', 'نظام', 'الحکومۃ', 'الاسلامیہ', 'جلد', 'دوم']"
341,1,"['مریم', 'نواز', 'کی', 'بحیثیت', 'چیئرپرسن', 'یوتھ', 'لون', 'اسکیم', 'تقرری', 'پر', 'وفاقی', 'حکومت', 'سے', 'جواب', 'طلب']"
342,0,"['بعض', 'اہل', 'نظر', 'کی', 'رائے', 'میں', 'نئے', 'صوبوں', 'کی', 'تقسیم', 'اس', 'طرح', 'بھی', 'ممکن', 'ہے']"
343,1,"['ثریااب', 'تو', 'مجھے', 'سب', 'ٹویٹیں', 'مارے', 'گاڈ']"
344,0,"['کی', 'یہ', 'اچھی', 'پالیسی', 'ہے', 'کہ', 'مختلف', 'بہانے', 'کرکے', 'کسی', 'کیس', 'کو', 'تاخیرمیں', 'ڈالتے', 'رہو', 'اور', 'عوام', 'کے', 'سامنے', 'معصوم', 'بن', 'کرجھوٹ', 'بولتے', 'رہو', 'کہ', 'ہمیں', 'تو', 'انصاف', 'نہیں', 'مل', 'رہا']"
345,1,"['اب', 'کے', 'برس', 'بہار', 'بصیرت', 'کو', 'ڈس', 'گئی', 'فکرو', 'نظر', 'کے', 'جھومتے', 'باغات', 'جل', 'گئے', 'ساغر', 'کٹے', 'کٹے', 'ہیں', 'ستارے', 'بجھے', 'بجھے', 'شائد', 'میرے', 'نصیب', 'کے', 'دن', 'رات', 'جل', 'گئے']"
346,0,"['حکومت', 'ماروی', 'میمن', 'اور', 'خسرو', 'بختیار', 'کو', 'وفاقی', 'وزیر', 'بنارہی', 'ہے', 'جبکہ', 'شاہد', 'خان', 'کو', 'چئیرمین', 'نادرا', 'بنارہی', 'ہے', 'جسے', 'تحریک']"
347,0,"['اپ', 'ڈیٹ', 'کرو', 'ٹھیک', 'ہو', 'جائے', 'گا']"
348,1,"['ہاہاہا', 'ہزارہ', 'تو', 'کھڑا', 'ہے', 'کیا', 'حضرت', 'صاب', 'بھی', 'کھڑے', 'ہیں', 'یا', 'انہیں', 'بھی', 'رلانے', 'کا', 'پلان', 'ہے']"
349,1,"['بھارتی', 'الیکشن', 'کمیشن', 'کامقبوضہ', 'کشمیرمیں', 'نام', 'نہاد', 'انتخابات', 'کا', 'اعلان', 'نئی', 'دہلیبھارتی', 'الیکشن']"
350,1,"['ڈآکٹر', 'دانش', 'سوال', 'یہ', 'ہے', 'اے', 'آر', 'وائی', 'کا', 'ٹیوٹر', 'اکائونٹ', 'ہیک', 'ہو', 'گیا', 'ہے', 'کوئی', 'بھی', 'شخص', 'ان', 'کو', 'ٹیوٹ', 'نہ', 'کر', 'ے', 'اور', 'نہ', 'ہی']"
351,0,"['محبت', 'مجھے', 'ان', 'جوانوں', 'سے', 'ہے', 'ڈیزل', 'پے', 'جو', 'ڈالتے', 'ہیں', 'کمند', 'علامہ', 'عمران', 'اقبال', 'خان']"
352,1,"['زندگی', 'اپنے', 'لہو', 'کا', 'نام', 'ہے', 'زندگی', 'ایک', 'آرزو', 'ے', 'خام', 'ہے', 'زندگی', 'حسرت', 'بھری', 'فریاد', 'ہے', 'زندگی', 'گویا', 'کسی', 'یاد', 'ہے', 'سوزش', 'درد', 'جگر', 'ہے']"
353,1,"['ایک', 'مشورہ', 'ھے', 'چندے', 'سے', 'انقلاب', 'تو', 'ممکن', 'نہیں', 'بنی', 'گالا', 'کا', 'کنکشن', 'شاید', 'بحال', 'ھوجائے', 'یا', 'پھر', 'پختون', 'ڈیزل', 'ھی', 'سے', 'کام', 'چلایے']"
354,1,"['کمال', 'کی', 'داستان', 'ہے', 'سنو', 'میں', 'نے', 'جس', 'کے', 'لیے', 'سب', 'کو', 'چھوڑا', 'دیا', 'اس', 'نے', 'مجھے', 'چھوڑ', 'دیا']"
